model,metric,point,ci_low,ci_high,stderr,n,method
Progressive DPLM-2 Bit - DPLM-2 Bit,ca_rmsd_delta,24.90960124345027,18.79416137798003,31.07588608252555,3.1503179807862174,250,independent_bootstrap_samples
Progressive DPLM-2 Bit - DPLM-2 Bit,bb_tmscore_delta,0.05581911352647756,0.034779188296360265,0.07656378200542553,0.010797170049536231,250,independent_bootstrap_samples
Progressive DPLM-2 Bit - DPLM-2 Bit,mean_plddt_delta,9.01377136993409,6.705898908042915,11.245048486900327,1.1805882691749765,250,independent_bootstrap_samples
Progressive DPLM-2 Bit - DPLM-2 Bit,designable_delta,0.16800000000000004,0.08800000000000002,0.24800000000000003,0.04091734623365207,250,independent_bootstrap_samples
DPRM-DPLM-2 Bit - DPLM-2 Bit,ca_rmsd_delta,8.973393384222248,3.416600112952548,14.358630841829717,2.7649742916256907,250,independent_bootstrap_samples
DPRM-DPLM-2 Bit - DPLM-2 Bit,bb_tmscore_delta,0.05421475416417043,0.034263007508139785,0.07377100457380355,0.010188084627667493,250,independent_bootstrap_samples
DPRM-DPLM-2 Bit - DPLM-2 Bit,mean_plddt_delta,1.282821060180666,-1.4292833492279045,3.9442425647735564,1.3767703717353235,250,independent_bootstrap_samples
DPRM-DPLM-2 Bit - DPLM-2 Bit,designable_delta,0.16400000000000003,0.08400000000000002,0.248,0.04094098371301645,250,independent_bootstrap_samples
DPRM(random)-DPLM-2 Bit - DPLM-2 Bit,ca_rmsd_delta,13.50353184375578,7.779011628619603,18.941921104851705,2.8874359973407264,250,independent_bootstrap_samples
DPRM(random)-DPLM-2 Bit - DPLM-2 Bit,bb_tmscore_delta,0.04638972421702592,0.025316906622958928,0.06708822480127379,0.010641792800101281,250,independent_bootstrap_samples
DPRM(random)-DPLM-2 Bit - DPLM-2 Bit,mean_plddt_delta,6.602947853088381,4.26421117916108,8.89412995128632,1.1988539401154306,250,independent_bootstrap_samples
DPRM(random)-DPLM-2 Bit - DPLM-2 Bit,designable_delta,0.16000000000000003,0.08000000000000002,0.24000000000000002,0.04078846743646007,250,independent_bootstrap_samples
