model,metric,point,ci_low,ci_high,stderr,n,method
Progressive DPLM-2 Bit - DPLM-2 Bit,bb_rmsd_to_gt_delta,-6.0338869796940156,-6.5328778935356375,-5.539970371328248,0.2558642324907724,163,paired_bootstrap_targets
Progressive DPLM-2 Bit - DPLM-2 Bit,bb_tmscore_to_gt_delta,0.025007721372049985,0.018560145262948826,0.03166620115030957,0.0033554862478677528,163,paired_bootstrap_targets
Progressive DPLM-2 Bit - DPLM-2 Bit,ca_rmsd_to_gt_delta,-6.289962938226805,-6.788196011116168,-5.797283681477507,0.2552314477433516,163,paired_bootstrap_targets
DPRM-DPLM-2 Bit - DPLM-2 Bit,bb_rmsd_to_gt_delta,-6.0338869796940156,-6.5328778935356375,-5.539970371328248,0.2558642324907724,163,paired_bootstrap_targets
DPRM-DPLM-2 Bit - DPLM-2 Bit,bb_tmscore_to_gt_delta,0.025007721372049985,0.018560145262948826,0.03166620115030957,0.0033554862478677528,163,paired_bootstrap_targets
DPRM-DPLM-2 Bit - DPLM-2 Bit,ca_rmsd_to_gt_delta,-6.289962938226805,-6.788196011116168,-5.797283681477507,0.2552314477433516,163,paired_bootstrap_targets
DPRM(random)-DPLM-2 Bit - DPLM-2 Bit,bb_rmsd_to_gt_delta,-6.0338869796940156,-6.5328778935356375,-5.539970371328248,0.2558642324907724,163,paired_bootstrap_targets
DPRM(random)-DPLM-2 Bit - DPLM-2 Bit,bb_tmscore_to_gt_delta,0.025007721372049985,0.018560145262948826,0.03166620115030957,0.0033554862478677528,163,paired_bootstrap_targets
DPRM(random)-DPLM-2 Bit - DPLM-2 Bit,ca_rmsd_to_gt_delta,-6.289962938226805,-6.788196011116168,-5.797283681477507,0.2552314477433516,163,paired_bootstrap_targets
