method,task,metric,hi,lo,mean
DPRM-random-GenMol-V2,scaffold_decoration,diversity,0.0,0.0,0.0
DPRM-random-GenMol-V2,scaffold_decoration,quality,1.0,0.42857142857142855,0.7124
DPRM-random-GenMol-V2,scaffold_decoration,uniqueness,1.0,1.0,1.0
DPRM-random-GenMol-V2,scaffold_decoration,validity,1.0,1.0,1.0
DPRM-random-GenMol-V2,superstructure_generation,distance,0.7832807153198115,0.5605961605961606,0.674584956823393
DPRM-random-GenMol-V2,superstructure_generation,diversity,0.0,0.0,0.0
DPRM-random-GenMol-V2,superstructure_generation,quality,1.0,0.2857142857142857,0.7096857142857143
DPRM-random-GenMol-V2,superstructure_generation,uniqueness,1.0,1.0,1.0
DPRM-random-GenMol-V2,superstructure_generation,validity,1.0,1.0,1.0
DPRM-confidence-GenMol-V2,linker_design,distance,0.3939393939393939,0.39393939393939387,0.3939393939393939
DPRM-confidence-GenMol-V2,linker_design,diversity,0.0,0.0,0.0
DPRM-confidence-GenMol-V2,linker_design,quality,0.42857142857142855,0.0,0.14182857142857141
DPRM-confidence-GenMol-V2,linker_design,uniqueness,0.42857142857142855,0.0,0.14182857142857141
DPRM-confidence-GenMol-V2,linker_design,validity,0.42857142857142855,0.0,0.14182857142857141
DPRM-confidence-GenMol-V2,linker_design_onestep,distance,,,
DPRM-confidence-GenMol-V2,linker_design_onestep,diversity,0.0,0.0,0.0
DPRM-confidence-GenMol-V2,linker_design_onestep,quality,0.0,0.0,0.0
DPRM-confidence-GenMol-V2,linker_design_onestep,uniqueness,0.0,0.0,0.0
DPRM-confidence-GenMol-V2,linker_design_onestep,validity,0.0,0.0,0.0
DPRM-confidence-GenMol-V2,motif_extension,distance,0.7618681881354693,0.5825728247091606,0.678414491928769
DPRM-confidence-GenMol-V2,motif_extension,diversity,0.0,0.0,0.0
DPRM-confidence-GenMol-V2,motif_extension,quality,0.7142857142857143,0.14285714285714285,0.4206857142857142
DPRM-confidence-GenMol-V2,motif_extension,uniqueness,1.0,1.0,1.0
DPRM-confidence-GenMol-V2,motif_extension,validity,1.0,1.0,1.0
DPRM-confidence-GenMol-V2,scaffold_decoration,distance,0.7832784145553155,0.567249922127971,0.6741881100899177
DPRM-confidence-GenMol-V2,scaffold_decoration,diversity,0.0,0.0,0.0
DPRM-confidence-GenMol-V2,scaffold_decoration,quality,1.0,0.42857142857142855,0.7124
DPRM-confidence-GenMol-V2,scaffold_decoration,uniqueness,1.0,1.0,1.0
DPRM-confidence-GenMol-V2,scaffold_decoration,validity,1.0,1.0,1.0
DPRM-confidence-GenMol-V2,superstructure_generation,distance,0.7832807153198115,0.5605961605961606,0.674584956823393
DPRM-confidence-GenMol-V2,superstructure_generation,diversity,0.0,0.0,0.0
DPRM-confidence-GenMol-V2,superstructure_generation,quality,1.0,0.2857142857142857,0.7096857142857143
DPRM-confidence-GenMol-V2,superstructure_generation,uniqueness,1.0,1.0,1.0
DPRM-confidence-GenMol-V2,superstructure_generation,validity,1.0,1.0,1.0
