model,target_length,metric,point,ci_low,ci_high,stderr,n,method
DPLM-2 Bit,100,ca_rmsd,27.62176858701347,27.176603072620352,27.97415852776841,0.20488192101082225,50,bootstrap_samples
DPLM-2 Bit,100,bb_tmscore,0.5199223259402421,0.5163505389786053,0.5245758340557021,0.0021641813615342906,50,bootstrap_samples
DPLM-2 Bit,100,mean_plddt,89.0995118713379,86.81655442047118,91.00499573898315,1.0914209620760678,50,bootstrap_samples
DPLM-2 Bit,100,designable,1.0,1.0,1.0,0.0,50,bootstrap_samples
DPLM-2 Bit,200,ca_rmsd,65.61245578313081,60.08489692263154,70.76260994735239,2.7152294217382122,50,bootstrap_samples
DPLM-2 Bit,200,bb_tmscore,0.4564457762180436,0.4315970586349856,0.4795375010747164,0.012245736411569896,50,bootstrap_samples
DPLM-2 Bit,200,mean_plddt,75.39509429931641,70.39651176071168,80.02653638076782,2.4480294231921036,50,bootstrap_samples
DPLM-2 Bit,200,designable,0.18,0.08,0.3,0.055379754779593324,50,bootstrap_samples
DPLM-2 Bit,300,ca_rmsd,87.6752173522432,81.02844632961428,94.15431496104272,3.350752061726646,50,bootstrap_samples
DPLM-2 Bit,300,bb_tmscore,0.41082552631073077,0.3910648696183059,0.4278700511030311,0.00934616133388886,50,bootstrap_samples
DPLM-2 Bit,300,mean_plddt,60.991302490234375,59.00425852775574,63.22426457595825,1.0782425661933386,50,bootstrap_samples
DPLM-2 Bit,300,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
DPLM-2 Bit,400,ca_rmsd,78.65244469242955,73.15033296133402,84.14862667993326,2.8208537410652648,50,bootstrap_samples
DPLM-2 Bit,400,bb_tmscore,0.32968349040413925,0.32181313933756056,0.33689358909011713,0.0038049881087357054,50,bootstrap_samples
DPLM-2 Bit,400,mean_plddt,57.41484886169434,55.87810504722595,58.9400188331604,0.7823147163939743,50,bootstrap_samples
DPLM-2 Bit,400,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
DPLM-2 Bit,500,ca_rmsd,74.07099481458182,68.27827350519003,79.91597349043231,2.9986765033746137,50,bootstrap_samples
DPLM-2 Bit,500,bb_tmscore,0.31449303833969594,0.3080333685518473,0.32073874547572323,0.003293824018764326,50,bootstrap_samples
DPLM-2 Bit,500,mean_plddt,54.55755035400391,53.45253598976135,55.66135716629028,0.5564701814632945,50,bootstrap_samples
DPLM-2 Bit,500,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
Progressive DPLM-2 Bit,100,ca_rmsd,31.62742153224576,31.332817853552537,31.924971363916836,0.14850457428934632,50,bootstrap_samples
Progressive DPLM-2 Bit,100,bb_tmscore,0.6555492601344942,0.6500470224963146,0.6609501928865803,0.002768252042040425,50,bootstrap_samples
Progressive DPLM-2 Bit,100,mean_plddt,86.74872985839843,86.21104253768921,87.2472493095398,0.2682805522564157,50,bootstrap_samples
Progressive DPLM-2 Bit,100,designable,1.0,1.0,1.0,0.0,50,bootstrap_samples
Progressive DPLM-2 Bit,200,ca_rmsd,74.36458244058,72.010394973327,75.9644168745092,1.0330822740146528,50,bootstrap_samples
Progressive DPLM-2 Bit,200,bb_tmscore,0.609978758800128,0.6045089495349172,0.6152913153319857,0.0027378504978640803,50,bootstrap_samples
Progressive DPLM-2 Bit,200,mean_plddt,84.36922485351562,83.43712567138672,85.10796994400025,0.4360450869078597,50,bootstrap_samples
Progressive DPLM-2 Bit,200,designable,1.0,1.0,1.0,0.0,50,bootstrap_samples
Progressive DPLM-2 Bit,300,ca_rmsd,116.88209732584549,111.0013593224659,122.19846311857194,2.8446055163717356,50,bootstrap_samples
Progressive DPLM-2 Bit,300,bb_tmscore,0.3588676514020148,0.35173526439429065,0.36625757215482957,0.003682599435067298,50,bootstrap_samples
Progressive DPLM-2 Bit,300,mean_plddt,77.79595527648925,76.46828932571411,79.00722255516052,0.6487443500854413,50,bootstrap_samples
Progressive DPLM-2 Bit,300,designable,0.0,0.0,0.0,0.0,50,bootstrap_samples
Progressive DPLM-2 Bit,400,ca_rmsd,126.27822306044776,117.7823758373933,134.44718031614133,4.29987954147807,50,bootstrap_samples
Progressive DPLM-2 Bit,400,bb_tmscore,0.3668416790672676,0.3605698272534491,0.3723900662201391,0.0030178974489310163,50,bootstrap_samples
Progressive DPLM-2 Bit,400,mean_plddt,68.8550036239624,66.53335873031615,70.63810816383362,1.0608750193743774,50,bootstrap_samples
