method,run_dir,n_examples,recovery_mean,recovery_ci_low,recovery_ci_high,nssr42_mean,nssr42_ci_low,nssr42_ci_high,nssr62_mean,nssr62_ci_low,nssr62_ci_high,nssr80_mean,nssr80_ci_low,nssr80_ci_high,nssr90_mean,nssr90_ci_low,nssr90_ci_high
MapDiff,outputs/mapdiff-cath42-baseline_2026-04-27_00-11-55,1120,0.5928165224513837,0.5871272863324598,0.5984634323900433,0.7924049643267478,0.7879928606675406,0.7966813810442441,0.7840715747858796,0.7795135743969254,0.7885072054554308,0.7828036048582622,0.7784905933914706,0.7871000967693649,0.7542420475876757,0.7493570038509954,0.7590458799526095
Progressive-MapDiff,outputs/mapdiff-cath42-progressive_2026-04-27_00-11-55,1120,0.5930877062758165,0.5874883088150196,0.5986516376588095,0.7920235837942787,0.787799936304135,0.7961405730766378,0.7838362690859607,0.7792811734921167,0.7881930644178231,0.7824377600369709,0.7780642512214504,0.7867207710937197,0.7542611423081585,0.74945901125736,0.7590071272324505
DPRM-MapDiff,outputs/mapdiff-cath42-dprm-confidence_2026-04-27_00-11-55,1120,0.5930274426671011,0.5874957274116709,0.5985690523391324,0.7924468510118978,0.78817416374239,0.7965950495270746,0.7842834901064635,0.779827749794349,0.788738518733132,0.7829146093555859,0.7785104382889612,0.7871333122180243,0.7546240422874689,0.7498633708033179,0.7594193003932014
DPRM(random)-MapDiff,outputs/mapdiff-cath42-dprm-random_2026-04-27_17-33-04,1120,0.5933775005729071,0.5878185729895319,0.5989088983843768,0.7925637516326138,0.7882791571665023,0.7968175270128995,0.784297721886209,0.7798331768484786,0.7884898697152468,0.7830361901649407,0.7786002459816103,0.7874454913048872,0.7553722018908177,0.7506793054199911,0.7600466839603282
