method,run_name,n_samples,total_metric_mean,total_metric_ci_low,total_metric_ci_high,hepg2_mean_mean,hepg2_mean_ci_low,hepg2_mean_ci_high,atac_acc_mean,atac_acc_ci_low,atac_acc_ci_high,kmer_pearson_mean,kmer_pearson_ci_low,kmer_pearson_ci_high,log_lik_mean_mean,log_lik_mean_ci_low,log_lik_mean_ci_high
SDPO-DNA,sdpo-dna-baseline,640,1.1903150366217772,1.0554212373264216,1.3304612086423027,3.94819313120842,3.8419954776763916,4.060203552246094,0.358959375,0.321875,0.3953515625,0.839653866597741,0.8332022063518615,0.8468584162594501,-238.44076123046875,-239.033837890625,-237.8899055480957
Progressive-SDPO-DNA,sdpo-dna-progressive,640,0.18568737321237233,0.13251740616377555,0.242798445381805,4.604189002513886,4.546658372879028,4.6620266199111935,0.07458125000000002,0.053125,0.096875,0.5404602299918143,0.5332796498130514,0.5476560627459346,-212.86012265014648,-213.77173385620117,-211.95791969299316
DPRM-SDPO-DNA,sdpo-dna-dprm-confidence,640,0.892523955178236,0.7732909321268652,1.0070040183268107,4.064362960338593,3.9712771236896516,4.162761747837067,0.30934375,0.271875,0.3453125,0.7096485995648266,0.7023012051331163,0.7168223708963889,-232.560145904541,-233.1346565246582,-231.97117080688477
DPRM(random)-SDPO-DNA,sdpo-dna-dprm-random,640,0.9122620865750758,0.7905634257730804,1.0281370529619303,4.115610558509827,4.019607961177826,4.21326208114624,0.31077031250000003,0.2734375,0.3453125,0.7130506738297897,0.7059454675587921,0.7201006750461644,-232.58269200134276,-233.20172615051268,-231.9411708831787
