suite,task,subset,model,metric,point,ci_low,ci_high,stderr,n,method
PUMA,gsm8k@500k,overall,PUMA top-k (unmask=2),accuracy,0.21607278241091737,0.19408642911296436,0.23881728582259287,0.011421724920531548,1319,bootstrap
PUMA,gsm8k@500k,overall,DPRM-PUMA (unmask=2),accuracy,0.22820318423047764,0.20545868081880211,0.25094768764215314,0.011579211959391092,1319,bootstrap
PUMA,gsm8k@500k,overall,DPRM-PUMA (unmask=2) - PUMA top-k (unmask=2),accuracy_delta,0.012130401819560273,-0.01061410159211524,0.03411675511751327,0.011415292342864045,1319,paired_bootstrap
PUMA,gsm8k@500k,overall,PUMA top-k (unmask=3),accuracy,0.21228203184230476,0.19029567854435178,0.2350265352539803,0.011372158792258426,1319,bootstrap
PUMA,gsm8k@500k,overall,DPRM-PUMA (unmask=3),accuracy,0.2304776345716452,0.20849128127369218,0.2532221379833207,0.011568341802349285,1319,bootstrap
PUMA,gsm8k@500k,overall,DPRM-PUMA (unmask=3) - PUMA top-k (unmask=3),accuracy_delta,0.01819560272934041,-0.004548900682335102,0.04094010614101592,0.011593753575122245,1319,paired_bootstrap
